answer,label
"Если появится подходящая внутренняя вакансия, я подумаю об этом.", 1
"На данный момент я не рассматриваю возможность остаться.", 2
"Я уважаю команду и компанию, но ищу другие пути развития.", 2
"Мне понравилась работа здесь, но я готов исследовать другие варианты.", 1
"Я полностью уверен в своем решении уйти и не планирую возвращаться.", 2
"Если бы возникла идеальная позиция, возможно, я бы подумал.", 1
"Я хочу попробовать себя в новой сфере, поэтому не остаюсь.", 2
"Эта компания не ценит своих сотрудников, так что нет, не останусь.", 2
"Я устал от этой работы и не собираюсь терять время на оставление.", 2
"Нет, я не хочу тратить свою жизнь на эту ненадежную компанию.", 2
"Учитывая, как тут всё устроено, я вообще не рассматриваю возможность остаться.", 2
"Как только уйду, будет только лучше, так что оставайтесь без меня.", 2
"Мне надоела эта работа, и я не вижу смысла оставаться здесь.", 2
"Внутренние переводы — это не для меня, я лучше уйду.", 2
"Эта компания не стоит моих усилий, я лучше найду что-то другое.", 2
"Я не верю, что здесь есть хорошие возможности, так что прощайте!", 2
"Мое время здесь закончилось, и я не жалею об этом.", 2
"Я не вижу никаких причин оставаться здесь, это не то, что мне нужно.", 2
"Это была ошибка — работать здесь, так что я определенно ухожу.", 2
"Я очень ценю все, что узнал здесь, но пришло время двигаться дальше.", 2
"Эта компания дала мне много, но у меня есть планы, которые требуют моего внимания.", 2
"У меня прекрасные воспоминания о работе здесь, но я хочу попробовать что-то новое.", 2
"Я бы остался с радостью, но, к сожалению, у меня есть другие приоритеты.", 2
"Мне очень нравилось работать здесь, но сейчас мне нужно сосредоточиться на других возможностях.", 2
"Уходя, я оставляю здесь частичку себя, но мне нужно следовать своим целям.", 2
"Я люблю эту команду, но понимаю, что пора искать новые вызовы.", 2
"Это было непростое решение, но у меня есть новые планы, которые я хочу реализовать.", 2
"Я оценил все возможности, которые мне здесь предоставили, но пришло время двигаться дальше.", 2
"Сложно прощаться, но у меня есть мечты, которые я хочу осуществить.", 2
"Я буду скучать по команде, но у меня есть планы, которые требуют моего внимания.", 2
"Мне было приятно работать здесь, но я чувствую, что мне нужно следовать своим путем.", 2
"Я рассматриваю все варианты, но в данный момент сосредоточен на выходе из компании", 0
"На данный момент я планирую уйти и не рассматриваю другие возможности", 2
"У меня есть планы на будущее, но не исключаю возможности остаться, если возникнет подходящая позиция", 1
"Я не вижу для себя возможностей внутри компании и предпочитаю новые вызовы", 2
"Сейчас я ищу другие варианты, но был бы рад остаться, если предложат интересную должность", 1
"Мой фокус на новых возможностях вне компании", 2
"Я открыт для предложений, но мои приоритеты сейчас в другом месте", 0
"Остаться в компании не в моих планах", 2
"Мне было бы интересно узнать о новых позициях, но я уже принял решение об увольнении", 0
"Сейчас я думаю о смене сферы деятельности", 2
"Я рассматриваю все возможные варианты, включая внутренние переводы", 1
"Я ценю время, проведенное в компании, но сейчас готов к изменениям", 2
"Если возникнет интересная возможность, я готов обсудить ее", 1
"Сейчас я стремлюсь к переменам и новым вызовам", 2
"На данный момент мои планы не включают оставление в компании", 2
"Возможно, я бы рассмотрел внутренние предложения, но сейчас я сосредоточен на уходе", 0
"Я рассматриваю только внешние возможности, так как хочу расширить свои горизонты", 2
"Мне интересны другие направления, поэтому я не рассматриваю вариант остаться", 2
"Скорее всего, я не останусь, но буду рад услышать о возможностях", 0
"Я принял решение о смене работы и не планирую оставаться здесь", 2
"Если мне предложат что-то действительно интересное, я готов рассмотреть", 1
"Мой фокус на поиске новой работы за пределами этой компании", 2
"Я не исключаю возможности остаться, но только если будет подходящее предложение", 1
"На данный момент я не рассматриваю оставление в компании", 2
"Я уже нашел другую работу, но был бы рад узнать о внутренних возможностях", 0
"Я думаю, что время для изменений пришло, и не планирую оставаться", 2
"Сейчас я открыто смотрю на новые возможности", 0
"Я был бы рад остаться, но не вижу для себя подходящих позиций", 2
"Я ушел с целью попробовать что-то новое и не рассматриваю переводы", 2
"Если возникнет интересное предложение, я не против обсудить его", 1
"Я принимаю решение уходить и не планирую возвращаться", 2
"Мне интересны новые проекты за пределами этой компании", 2
"Я готов рассмотреть предложения, но мой фокус на новых вызовах", 0
"Сейчас я не планирую оставаться в компании, так как у меня есть другие предложения", 2
"Я не против остаться, если появится действительно интересная позиция", 1
"На данный момент мне интереснее искать новые возможности за пределами", 2
"Я был бы рад услышать о новых возможностях, но мой план - уход", 0
"У меня нет намерения остаться, но я открыт для разговоров", 0
"Я принял решение уйти и не рассматриваю возможность остаться", 2
"Если появится интересная вакансия, я не исключаю возможности остаться", 1
"Я уже принял решение о смене работы и не планирую возвращаться", 2
"Сейчас я больше сосредоточен на поиске нового места", 2
"Мне интересно развиваться в других сферах, поэтому я не рассматриваю оставление", 2
"На данный момент не рассматриваю внутренние переводы", 2
"Я открыт для новых предложений, но готов уйти", 0
"Если появится подходящая возможность, я готов остаться", 1
"Я стремлюсь к изменениям и не рассматриваю оставление здесь", 2
"Я уже принял решение, но всегда рад обсудить новые возможности", 0
"Сейчас я нацелен на новое место работы и не планирую оставаться", 2
"Я рассматриваю разные варианты, включая переводы", 1
"Я предпочитаю искать новые возможности вне компании", 2
"Если предложат что-то интересное, я готов рассмотреть", 1
"На данный момент моя цель - смена места работы", 2
"Я открыт к обсуждению, но мой план - уход", 0
"У меня уже есть другие предложения, и я не собираюсь оставаться", 2
"Я ценю время в компании, но сейчас хочу двигаться дальше", 2
"Сейчас мне интереснее другие предложения вне компании", 2
"Я не исключаю возможность перевода, но не активно ищу ее", 0
"На данный момент я хочу сменить направление своей карьеры", 2
"Я был бы рад услышать о внутренних вакансиях, но моё решение остаётся неизменным", 0
"Сейчас я сосредоточен на поиске новой работы, но не против остаться, если предложат", 1
"Я не рассматриваю возможность остаться в компании", 2
"У меня есть планы по смене работы, но я готов рассмотреть интересные предложения", 1
"Я нацелен на поиски новых возможностей и не планирую оставаться", 2
"Если будет интересное предложение, я не против остаться", 1
"Я хочу попробовать себя в другой компании", 2
"Я открыт к предложениям, но на данный момент я сосредоточен на уходе", 0
"На данный момент я ищу новые возможности и не планирую оставаться", 2
"Мне интересны новые вызовы, и я не планирую оставаться", 2
"Я принял решение об уходе и не рассматриваю внутренние переводы", 2
"Я был бы рад остаться, но сейчас меня привлекают другие предложения", 1
"На данный момент я не собираюсь оставаться", 2
"Я планирую искать новую работу и не рассматриваю переводы внутри компании", 2
"Я бы не против обсудить варианты остаться, если они появятся", 1
"Я не собираюсь оставаться в компании, так как хочу изменить сферу деятельности", 2
"Я открыт к предложениям, но мой фокус на новых возможностях", 0
"Я уже решил уходить и не планирую возвращаться", 2
"Я рассматриваю возможности вне компании", 2
"Я думаю, что пора двигаться дальше и искать новые возможности", 2
"Я был бы рад остаться, но только если будет подходящая позиция", 1
"На данный момент я планирую смену работы и не рассматриваю оставление", 2
"Я не рассматриваю возможность остаться, так как у меня есть другие планы", 2
"Сейчас я сосредоточен на поиске новой работы", 2
"Я рассматриваю разные варианты, включая переводы, но сейчас в основном сосредоточен на уходе", 0
"Я открыто рассматриваю разные возможности, в том числе внутренние переводы", 0
"Сейчас я анализирую свои варианты, в том числе и внутри компании", 0
"Я в данный момент не делаю окончательных выводов о будущем", 0
"Я готов обсудить разные варианты, включая возможность остаться", 0
"Сейчас я сосредоточен на изучении различных вариантов", 0
"Я открыто смотрю на предложения, но конкретного решения пока нет", 0
"Я рассматриваю все возможные пути, включая переводы", 0
"У меня есть различные планы на будущее, и я открыт к диалогу", 0
"Сейчас я не готов принимать окончательное решение", 0
"Я нахожусь в поиске новых возможностей и рассматриваю разные варианты", 0
"Я не исключаю возможности остаться, но сейчас мой фокус на других предложениях", 0
"Я на стадии размышлений о будущем, поэтому не исключаю различные варианты", 0
"Сейчас я хочу понять, что именно мне нужно, прежде чем принимать решение", 0
"Я открыт для обсуждения, но у меня нет четких планов на данный момент", 0
"Я не против остаться, но пока рассматриваю другие возможности", 0
"Сейчас я на этапе размышлений и не спешу с решениями", 0
"Я исследую разные варианты, в том числе и внутри компании", 0
"На данный момент я не принимаю никаких решений, просто размышляю", 0
"Я готов выслушать предложения, но пока ничего не планирую", 0
"Я изучаю все возможности, включая переводы", 0
"На данный момент я не ограничиваю себя в вариантах", 0
"Я еще не решил, что хочу делать дальше", 0
"Я открыто смотрю на предложения, но не принимаю решений на данный момент", 0
"Сейчас я хочу изучить свои возможности и перспективы", 0
"Я нахожусь в процессе размышлений о том, что будет дальше", 0
"Я не тороплюсь с решением и изучаю разные варианты", 0
"На данный момент я анализирую свою ситуацию и не принимаю решений", 0
"Я остаюсь открытым к возможностям, но пока не определился", 0
"Я готов обсудить все возможные варианты, включая переводы", 0
"Сейчас я на стадии размышлений и не спешу с ответом", 0
"Я открыт к предложениям, но пока нет ясности", 0
"На данный момент мне нужно время, чтобы обдумать свои шаги", 0
"Я изучаю свои варианты, включая внутренние переводы", 0
"Сейчас я не принимаю окончательных решений и остаюсь открытым к предложениям", 0
"Я готов рассмотреть разные возможности, в том числе остаться", 0
"На данный момент я не принимаю решения и остаюсь в размышлениях", 0
"Я нахожусь в процессе обдумывания своих дальнейших шагов", 0
"Я не исключаю возможность остаться, но мне нужно больше информации", 0
"Сейчас я хочу понять, что для меня важно, прежде чем принимать решение", 0
"Я на этапе размышлений и готов обсуждать различные варианты", 0
"На данный момент я ищу возможность узнать больше о внутренних позициях", 0
"Я пока не знаю, что именно мне нужно, поэтому не принимаю решений", 0
"Я нахожусь в поисках и рассматриваю разные варианты", 0
"Сейчас я открыт к диалогу, но не имею четких планов", 0
"Я размышляю о своих вариантах и не спешу с решением", 0
"Я остаюсь открытым к предложениям, но не принимаю решения сейчас", 0
"На данный момент я на этапе поиска и размышлений о будущем", 0
"Я не исключаю возможность остаться, но у меня есть другие варианты", 0
"Я в поиске новых возможностей и пока не принимаю окончательного решения", 0
"Сейчас я хочу рассмотреть разные варианты, в том числе и остаться", 0
"Я на стадии анализа своих предпочтений и открыто смотрю на предложения", 0
"Я готов к диалогу, но пока не определился с решением", 0
"На данный момент я исследую свои возможности и размышляю о будущем", 0
"Я пока не определился с тем, что делать дальше", 0
"Я открыт для разных вариантов и пока не принимаю решения", 0
"Сейчас я изучаю свои возможности и рассматриваю разные пути", 0
"Я нахожусь в процессе обдумывания своего будущего", 0
"Я готов обсудить все варианты, но пока не делаю выбор", 0
"На данный момент я просто ищу информацию о возможностях", 0
"Я не против остаться, но мне нужно больше информации", 0
"Я на стадии размышлений о своих следующих шагах", 0
"Сейчас я в процессе обдумывания своих будущих планов", 0
"Я остаюсь открытым к различным вариантам, включая остаться", 0
"На данный момент я не тороплюсь с принятием решения", 0
"Я в поиске новых возможностей и не принимаю окончательного решения", 0
"Я открыт к предложениям, но пока не планирую уходить", 0
"Сейчас я хочу изучить разные возможности и не спешу с выводами", 0
"Я нахожусь в процессе размышлений и остаюсь открытым к различным вариантам", 0
"На данный момент мне важно изучить свои возможности", 0
"Я пока не знаю, что делать дальше, и остаюсь открытым к предложениям", 0
"Я готов обсуждать разные варианты, включая остаться", 0
"Сейчас я в поиске информации о разных вариантах, включая внутренние переводы", 0
"Я не исключаю возможности остаться, но пока не определился", 0
"На данный момент я анализирую свои планы и возможности", 0
"Я нахожусь в поиске различных возможностей и открыто смотрю на предложения", 0
"Я был бы рад остаться в компании, если появится интересная возможность", 1
"Сейчас я рассматриваю возможность перевода, если будет подходящая позиция", 1
"Я ценю опыт, полученный здесь, и не против остаться при подходящих условиях", 1
"Мне нравится работать в этой компании, и я открыт к новым предложениям", 1
"Я бы с удовольствием остался, если появится возможность развиваться", 1
"Я открыт для внутренних переводов и рад буду рассмотреть предложения", 1
"Если предложат что-то интересное, я определенно буду рад остаться", 1
"Я рассматриваю возможность остаться в компании, если появится интересная вакансия", 1
"Я люблю свою работу и буду рад остаться, если найдется подходящее место", 1
"Если будут новые интересные проекты, я с удовольствием рассмотрю возможность остаться", 1
"Я ценю культуру компании и не против остаться, если появится возможность", 1
"Мне нравится работать здесь, и я открыт к возможностям остаться", 1
"Если предложат интересный проект, я готов рассмотреть возможность остаться", 1
"Я не исключаю возможность остаться в компании, если появится интересная роль", 1
"Я рассматриваю различные предложения, включая возможность остаться", 1
"Мне нравится команда, и я был бы рад остаться, если появится возможность", 1
"Если появится интересная вакансия, я с удовольствием рассмотрю возможность остаться", 1
"Я ценю компанию и буду рад остаться при подходящих условиях", 1
"Я готов остаться, если будет возможность развиваться дальше", 1
"Я рассматриваю варианты остаться, если появится интересное предложение", 1
"Если предложат что-то подходящее, я с радостью останусь", 1
"Я готов обсудить возможности остаться, если они будут интересны", 1
"Мне нравится здесь работать, и я открыт для внутренних переводов", 1
"Я бы с удовольствием остался, если будут подходящие возможности для роста", 1
"Если появится интересная роль, я с радостью останусь в компании", 1
"Я люблю свою работу и не против остаться, если будут подходящие условия", 1
"Я открыто смотрю на новые возможности, включая переводы внутри компании", 1
"Если предложат интересный проект, я с радостью останусь", 1
"Я был бы рад рассмотреть возможность остаться, если появится интересная вакансия", 1
"Мне нравится работа в этой компании, и я открыт к возможностям остаться", 1
"Если появится новая интересная роль, я с удовольствием останусь", 1
"Я ценю свою команду и не против остаться, если будут подходящие предложения", 1
"Я готов рассмотреть варианты остаться, если они будут интересны", 1
"Я люблю свою работу и был бы рад остаться, если появится возможность", 1
"Если появится подходящее предложение, я с удовольствием останусь в компании", 1
"Я открыт для новых возможностей, включая возможность остаться здесь", 1
"Я был бы рад рассмотреть возможность перевода, если она появится", 1
"Мне нравится работать здесь, и я открыт для обсуждения вариантов остаться", 1
"Если предложат интересный проект, я с радостью останусь в компании", 1
"Я готов остаться, если будет возможность развиваться в интересной роли", 1
"Я рассматриваю возможность остаться в компании, если появится подходящая вакансия", 1
"Мне нравится работать с этой командой, и я был бы рад остаться", 1
"Если будет возможность остаться, я с удовольствием ее рассмотрю", 1
"Я открыто рассматриваю различные варианты, включая остаться в компании", 1
"Если предложат интересную позицию, я с радостью останусь", 1
"Мне нравится здесь работать, и я буду рад остаться при подходящих условиях", 1
"Я готов обсудить варианты перевода внутри компании, если они будут интересны", 1
"Если появится новая роль, я с удовольствием рассмотрю возможность остаться", 1
"Я ценю компанию и не против остаться, если будет подходящая вакансия", 1
"Если предложат что-то интересное, я буду рад остаться", 1
"Я люблю свою команду и не против остаться, если появится возможность", 1
"Я открыт для обсуждения внутренних переводов и рад буду их рассмотреть", 1
"Мне нравится работать в этой компании, и я был бы рад остаться", 1
"Если появится интересная вакансия, я с удовольствием ее рассмотрю", 1
"Я рассматриваю разные варианты, включая возможность остаться в компании", 1
