answer,label
"В 2019 я всерьез рассматривал возможность самостоятельно организовать в блоке Процессный офис, так как у всех крупных игроков вне отрасли достаточно развита эта компетенция и неспроста. Если компания пересмотрит свои взгляды, станет готова наделять полномочиями экспертов, а не фиксироваться на руководителях, то я рассмотрю. Простой пример - конференция руководителей - с чего руководителей-то??? Руководителям нужно каскадировать уже сформированные стратегические цели, а не просить их выработать эти цели. Цели должны вырабатывать сотрудники-эксперты, энтузиасты. Конференции должны проводиться для сотрудников, а не для руководителей. ",2
не в данный момент,0
"Готов работать по совместительству, до того как найдут замену",0
"В принципе, ДА, работа инженера практически везде одинакова, была бы голова на плечах. Но условия точно не изменятся. По этому НЕТ. ",2
"При наличии предложений по условиям, соответствующим предыдущим пунктам, готов с радостью вернуться в отрасль",1
открыт к обсуждению,0
"У меня общий стаж работы 46 лет, на СХК - 23 года, хочется уже работу попроще",2
нервы дороже чем предлагаемый уровень ЗП,2
"В случае, если будут улучшены условия оплаты труда для всего коллектива, а не персонально сотрудника, то возможно рассмотрение возвращения.",0
Стабильная и надежная компания. Конечно интересно работать в одной из передовых компаний. ,1
"в данный момент нет, возможно, что-то изменится",0
"Если позволит здоровье. Хотя вряд ли, все-таки возраст. Надо давать дорогу молодым.",0
Возможно.,0
"если что-нибудь измениться в системе управления, дебюрократизация системы управления например",0
"Была бы рада устроиться на удалённую работу (в тех.поддержку или колл-центр, учитывая релевантный опыт) с достойной оплатой труда или в ОМСЦПК в Красноярске на гибоидный график, но нет желания продолжать сотрудничество с Московским офисом.",1
при условии перевода в другой отдел,0
"Компания отличная, если будут приглашения, на интересующие должности\финансы - буду рад сотрудничать.",1
"Пока не знаю, какие условия для этого нужны, не представляю их возможными. Но не был бы против вернутьс, если эти условия образуются.",0
"Возможность возвращения в команду рассматриваю, так как люди хорошие, быт наладить можно, при единогласном желании.",1
"Маловероятно, что что-то изменится к лучшему. Скорее станет только хуже.",2
При гибридном или удаленном графике.,1
Причастность к Росатому является для меня наивысшей мотивацией для продолжении работы в отрасли,1
Если будет вакантная должность с денежным вознаграждением не менее 90000 рублей на руки.,1
"Да, если появятся интересные объекты и повысят ЗП.",1
как решаться семейные вопросы,0
"Есть вероятность, что просто не возьмут обратно. Уволился - значит такой работник больше не нужен.",2
"Когда будет возможность работать не удаленно, в настоящий момент нет такой возможности",0
Мне очень понравилось работать в Гринатом.,1
Отучусь и вернусь в родной город,1
Если уровень оплаты труда будет приближен к рыночному.,1
"возможно, но очень низкая вероятность",0
все возможно в этой жизни,0
"В случае смены стиля работы вышестоящего руководителя, либо смены руководителя",0
"Вполне рассматриваю. Здесь имеются уникальные установки, реализуются федеральные проекты, есть над чем работать, есть куда расти.",1
возможно придется приехать обратно,0
"Если захочется вернуться в Россию, то рассмотрела бы возможность вернуться в компанию.",0
важен коллектив и руководство,1
"Если будет интересная позиция с хорошими условиями, вполне готов рассмотреть возвращение",1
"Когда меня устраивали на работы, то я первые 5 дней не могла приступить к работе, потому что мне не могла выдать данные по УЗ. Проходить еще раз такое устройство на работу нет желания",2
"Нет, потому что на текущий момент перспектив для себя здесь не вижу. Компании желаю успехов и процветания!",2
Конкретно ЭХЗ уже нет. Релокация в Москву - вопрос решенный. Росатом - почему бы и нет,0
Если будет изменен стиль работы,0
Выше прокомментировала вопрос.,0
"Вполне, если адаптация придёт в норму и будет конкретный человек, у которого есть время показать и рассказать про задачи, то вполне могу вернуться.",1
"Да, возможно, если пойму что не справилась с новой задачей. Возврат возможен только через длительный период времени, когда пойму на новой работе что не справилась.",0
"Возможно, в будущем",0
"От возвращения не отказываюсь, в случае наличия интересных вакансий готов рассмотреть их.",1
"да, возможно, с новым опытом и в новой роли",1
Я не увольняюсь,0
"Деятельность, которой занимается компания, интересна, перспективна и попросту вечна!",1
Если будет вакансия для программиста java.,1
Вернусь к данной мысли через год-два,0
Но в нашей жизни все возможно,0
"но мне не поступило ни одного отклика на мою кандидатуру. Я лоялен отрасли и компании, можно сказать, мечтал в ней работать. Оказалось, что мой опыт не нужен, а идеи вызывают отторжение. Это непонятно, что подразумевает, не в ближайшее время.",2
Необходимо двигаться дальше и искать новые возможности и горизонты.,0
"готова вернутся на интересный проект, с обязанностями в которых я максимально буду полезна компании",1
"Если будет подходящая вакансия и уровень дохода, конечно вернулся бы.",1
затрудняюсь ответить,0
"Именно в РЭНЕРА у меня сложились комфортные отношения как внутри отдела, так и со смежными подразделениями. Тут совпало все - и стиль руководства, и карьерный рост, и взаимоотношения в коллективе, желание двигаться дальше.
Поэтому я не исключаю возможность возвращения в компанию.",1
"только в другое подразделение , кроме МОЛ и договорной работы",0
В отрасль - да,1
Пенсионный возраст,0
Все может быть.,0
В данный момент нет.,0
В инженерную группу/подразделение по развитию направления архитектора и интегратора АСУ ТП,1
Обманщики,2
затрудняюсь ответить,0
"Пытался связаться с подбором в Гринатом по вакансии в ТВЭЛ, но коллеги проигнорировали. Вернусь позже, когда будет потребность в моей работе и предоставится возможность помогать компании.",0
"Жизнь непредсказуема, а отрасль мне дорога.",1
"Меня абсолютно устраивает бренд ""Росатома"", но я недоволен организацией процессов внутри АО ""Гринатом"" ",2
Если в отрасли что-то поменяется в положительную сторону,0
Ни за что!,2
"Если будет карьерный рост, достойная зарплата.",1
"Возможно в IT сферу, активно изучаю python",0
не в текущее направление бизнеса,0
"Готов обсуждать возможность возвращения в случае появления предложений об удаленной работе из Калининграда, либо на объектах находящихся в Калининградской области.",1
конечно рассматриваю возможность,1
"Для принятия положительного решения по п. 2,3 необходимо устранение факторов из п. 1",0
очень интеллигентные люди в штате - замечательные.,1
"Несмотря на негативное и неадекватное отношение со стороны руководства, я разделяю исходные цели создания компании. Руководство временно, а количества проблем в сфере защиты окружающей среды даже в рамках Российской Федерации достаточно, чтоб продолжать работу в данной области. Имея хороший опыт и экспертные знания в разработке технологий и оборудования, считаю, что могу принимать активное участие в развитии экологического машиностроения в РФ и в решении проблем защиты окружающей среды.",1
-,0
Пока нет. Возможно со временем позиция изменится.,0
"Работая в АО КРЭА, чувствовала уверенность в завтрашнем дне",1
Два раза в одну воду не войти.,2
 ,0
"В данный момент я рассматриваю различные варианты, но эта возможность не исключена.",0
"Возвращение - это интересная мысль, но сейчас я сосредоточен на",0
"Спасибо за предложение, я ценю ваше внимание, но пока не готов обсуждать эту возможность.",0
"У меня есть много идей о том, как я могу быть полезен, но возвращение сейчас не является моим приоритетом.",0
"Если бы в компании произошли определенные изменения, я мог бы пересмотреть это предложение.",0
"Я бы оценивал возможность возвращения, если бы в компании появилась роль, которая полностью соответствовала моим целям.",0
"Я ценю предложение, но на данный момент я не заинтересован в возвращении в компанию.",0
"Мне бы понравилось узнать больше о том, как компания изменилась, и о возможных ролях, прежде чем принять решение.",0
"Я всегда буду рад помочь компания, но в данный момент у меня нет желания возвращаться.",0
"Я рассматриваю ваше предложение, но требуется больше информации для окончательного решения.",0
"Сейчас я нахожусь в стадии активного поиска новых возможностей в другой области, но в будущем всё возможно.",0
"Мне нравились многие аспекты моей работы в компании, но сейчас я сосредоточен на новых вызовах.",0
"Я в текущее время не рассматриваю возможность возвращения, но всегда буду держать в курсе о своих планах.",0
"Благодарю за предложение. В данный момент я рассматриваю другие варианты, но считаю, что компания смогла извлечь уроки из предыдущих событий.",0
Я со вниманием отнесся к вашему предложению. В настоящее время я сфокусирован на достижении своих текущих целей.,0
"Я готов вступить в диалог, чтобы лучше понять предложение и возможность возвращения.",0
"Я оцениваю возможность возвращения, но на данный момент у меня не достаточно информации, чтобы принять окончательное решение.",0
"Спасибо за доверие, я признателен за предложение, но в настоящее время у меня нет желания возвращаться в компанию.",0
"В будущем, возможно, я могу рассмотреть предложение о возвращении.",0
Я буду следить за развитием компании и готов в любой момент вступить в диалог о возможном сотрудничестве.,0
Я с интересом прослежу за прогрессом компании и готов рассмотреть возможные опции в будущем.,0
"Я бы рассматривал возвращение только в том случае, если будет создана новая команда, и в ней будет не так много людей, которые прежде вызвали моё недовольство.",0
"Я ценил свой опыт работы в компании, но в данный момент мои интересы лежат в другой области.",0
"Я в текущее время рассматриваю другие предложения, но остаюсь в открытой отношениях с компанией.",0
"Благодарю за обращение. В данный момент я не планирую возвращаться, но откровенно признаюсь, я с интересом наблюдаю за развитием компании.",0
"Я в текущее время не рассматриваю возвращение в компанию, но благодарен за ваше доверие и интерес.",0
"Я ценю ваш запрос, но сейчас не готов дать ответ.",0
"Я прочитал ваше письмо с интересом, но на данный момент не готов комментировать свою возможную роль в компании.",0
В данный момент я не ищу работу.,0
"Я всегда относился к компании с уважением, но на данный момент не рассматриваю возвращение в качестве своего приоритета.",0
"Я готов обсудить возможность возвращения, но только при условии, что будет предоставлена детальная информация о роли и о новых условиях работы.",0
"Я ценил свой опыт работы в компании, но сейчас сфокусирован на реализации собственных проектов.",0
"В будущем я готов в любой момент рассмотреть предложение о возвращении, но сейчас у меня другие приоритеты.",0
"Благодарю за интерес, я с удовольствием узнал о планах компании по своему возможному возвращению.",0
В текущий момент я рассматриваю другие предложения и не могу дать четкий ответ.,0
"Я не рассматриваю возможность возвращения в компанию в ближайшее время, но я буду держать вас в курсе.",0
"В данный момент у меня есть другие планы, но я ценю ваше предложение.",0
"Я готов поддержать компания, но не в качестве сотрудника.",0
"Спасибо за обращение. В данный момент у меня есть другие интересы, но я всегда буду рад следить за развитием компании.",0
"Я с уважением отношусь к компании, но на данный момент у меня нет планов по возвращению.",0
"В данный момент я рассматриваю предложение с интересом, но еще не принял окончательное решение.",0
"Спасибо за интерес, я считаю, что у меня есть необходимые знания и опыт, чтобы быть полезным для компании.",1
"В настоящее время я не планирую возвращаться в компанию, но в будущем все возможно.",0
"Я был бы рад рассмотреть возможность возвращения, если бы была реализована конкретная идея, которую я предлагал в прошлом.",0
Спасибо за предложение. В настоящее время я рассматриваю другие варианты развития карьеры.,0
В текущее время я сосредоточен на новых целях и не планирую возвращаться в компанию.,0
Благодарю за предложение. В текущее время я не рассматриваю возвращение в компанию.,0
"В данный момент у меня есть другие планы, но я остаюсь в открыть отношениях с компанией.",0
"В будущем я рассматриваю все возможные варианты развития своей карьеры, в том числе и возможность возвращения в компанию.",0
"Я был бы рад рассмотреть ваше предложение о возвращении, если бы условия были изменены.",0
"Я готов обсудить возможность возвращения, но мне необходимо более подробно узнать о новых условиях работы.",0
"Спасибо за предложение, я ценю ваше доверие. В данный момент я не рассматриваю возвращение в компанию, но с удовольствием узнаю о новых планах компании.",0
"В данный момент у меня есть другие задачи, но в будущем я с уважением отнесусь к вашему предложению.",0
"Я не рассматриваю возможность возвращения в компанию, но остаюсь открытым к возможным вариантам сотрудничества.",0
"В будущем я могу рассмотреть ваше предложение, но сейчас я сосредоточен на реализации своих текущих планов.",0
Благодарю за предложение. Я в текущее время сосредоточен на развитии своей карьеры в другом направлении.,0
"Я был бы рад рассмотреть возможность возвращения в компания, но только при условии, что будет предложено руководящее положение.",0
Спасибо за предложение. В данный момент я не рассматриваю возвращение в компанию.,0
"Я готов узнать больше о планах компании по возможному возвращению, но на данный момент я не готово комментировать свою позицию.",0
Я ценю ваше обращение и с уважением отношусь к компания.,0
"В текущее время у меня есть другие приоритеты, но в будущем я не исключаю возможность возвращения в компанию.",0
Я был бы рад услышать о планах компании и о возможных ролях в будущем.,0
"Спасибо за обращение. Я признателен за проявленный интерес, но в данный момент не рассматриваю возможность возвращения.",0
"В будущем, возможно, я могу рассмотреть предложение о возвращении, но на данный момент у меня нет такого желания.",0
"Я готов обсудить возможность возвращения в компанию, но необходимо получить больше информации о целях и возможностях.",0
"Благодарю за предложение, но на данный момент я сосредоточен на реализации своих текущих планов.",0
В текущее время я не рассматриваю возможность возвращения в компанию. Спасибо за интерес.,0
"В данный момент я рассматриваю другие варианты, но в будущем все может измениться.",0
"Я готов обсудить возможные варианты сотрудничества, но не в качестве сотрудника компании.",0
"Я готов рассмотреть возможность возвращения в компанию в том случае, если мои условия работы будут полностью удовлетворены.",0
"Благодарю за ваше обращение. Я ценил свой опыт работы в компании, но на данный момент у меня есть другие планы.",0
"Я бы рассмотрел возможность возвращения, если бы был уверен, что компания действительно изменилась к лучшему.",0
"Я с уважением отнесся к вашему предложению, но на данный момент у меня есть другие приоритеты.",0
Спасибо за интерес. В данный момент я не рассматриваю возвращение в компания.,0
"В будущем я рассматриваю возможность возвращения в компанию, но на данный момент у меня есть другие планы.",0
"В текущее время я не готово рассматривать предложение о возвращении в компания, но с уважением отношусь к предложенной возможности.",0
"Я буду рассматривать возможность возвращения в компанию, только в случае улучшения условий труда.",0
Я остаюсь в открыть отношениях с компанией и готов обсудить возможные варианты сотрудничества.,0
"Я готов в любой момент обсудить возможность возвращения, но только при наличии конкретного предложения.",0
Спасибо за обращение. В данный момент я не рассматриваю возможность возвращения.,0
"Я ценю предложение, но не уверен, что могу вернуться в компания в данный момент.",0
"Я готов поддержать компания в других ролях, но не в качестве сотрудника.",0
"Я бы рассмотрел возможность возвращения, если бы была предложена роле в новом отделе, с новйми коллегами и с совершенно новым подходом к решению задач.",0
"Благодарю за предложение. Я рассмотрю вашу просьбу, но на данный момент у меня нет готовности дать окончательный ответ.",0
Я остаюсь в тесной связи с компания и готов узнать больше о возможностях сотрудничества.,0
"Я ценю ваше обращение. В данный момент у меня нет планов по возвращению в компанию, но в будущем все может измениться.",0
"Я был бы рад обсудить возможность возвращения, но у меня есть ряд условий, которые должны быть выполнены, прежде чем я приму решение.",0
"В текущее время я сосредоточен на своих текущих задачах, но с удовольствием слежу за развитием компании.",0
Спасибо за обращение. В данный момент я не готов комментировать возможность своего возвращения.,0
"Я готов поддержать компания в любой форме, кроме как в качестве сотрудника.",0
"Я рассматриваю ваше предложение с интересом, но еще не принял решения.",0
В текущее время я не готов возвращаться в компания.,0
"Спасибо за обращение. В будущем я не исключаю возможность возвращения, но в данный момент у меня нет таких планов.",0
"Я признателен за предложение о возвращении, но сейчас у меня нет планов на смену работы.",0
"Я буду рад рассмотреть ваше предложение о возвращении, но только при условии, что условия работы будут значительно лучше, чем были раньше.",0
Я остаюсь в отношениях с компания и всегда готов рассмотреть варианты сотрудничества в будущем.,0
Благодарю за обращение. Я с интересом узнал о планах компании и рассмотрю возможность своего возвращения в будущем.,0
"В данный момент у меня есть другие цели и задачи, но я открыт к диалогу о возможном сотрудничестве в будущем.",0
"В будущем я не исключаю возможность возвращения в компанию, но на данный момент у меня есть другие приоритеты.",0
Спасибо за интерес. В текущее время я сосредоточен на других проектах и не планирую возвращаться в компанию.,0
"Да, возможно, при определенных условиях.",0
"В настоящее время нет, но я открыт к предложениям.",0
"Не исключено, если будут привлекательные возможности для роста.",0
"Скорее всего, нет, но время покажет.",0
"Могу рассмотреть этот вариант в будущем, если будет подходящая вакансия.",0
"Пока что нет, но буду следить за развитием событий.",0
"Да, с радостью, если появится такая возможность.",1
"В данный момент это неактуально, но я благодарю за предложение.",0
Все зависит от предлагаемых условий.,0
"Мне интересна ваша компания, но сейчас я не планирую возвращаться.",0
"Нет, у меня другие приоритеты.",0
"Мне сложно ответить, сейчас я сосредоточен на других проектах.",0
"Я рассматриваю различные варианты, включая этот.",0
"Возможно, но только при условии повышения заработной платы.",0
На данный момент это не является моей целью.,0
"Это интересное предложение, но я пока не готов.",0
"Мне нужно больше информации, чтобы сделать выбор.",0
"Возможно, в долгосрочной перспективе.",0
"Я открыт для новых возможностей, включая и эту.",0
Все зависит от ситуации на рынке труда.,0
"Не уверен, но спасибо за предложение.",0
Пока что не рассматриваю такую возможность.,0
Я изучу все варианты перед принятием решения.,0
"Хотел бы вернуться, если бы была возможность профессионального роста.",1
"Мне требуется дополнительное время, чтобы взвесить все ""за"" и ""против"".",0
"Не исключаю такой возможности, но сейчас мне не до этого.",0
"Это привлекательное предложение, но я не готов сделать выбор.",0
"Я бы хотел знать, какие именно возможности вы предлагаете.",0
"У меня пока нет точного ответа, но буду держать это в голове.",0
Мне необходимо получить больше информации о должности.,0
"Возможно, если будет достойная оплата и перспективы роста.",0
"Да, я с удовольствием вернусь, но нужны гарантии стабильности.",0
"Мне важно, чтобы компания была в состоянии обеспечить необходимую мне стабильность.",0
"Да, я open-minded и готов рассмотреть возможность.",1
"Не знаю, что будет в будущем, но интересное предложение.",0
В данный момент у меня есть другие цели.,0
"Это была бы интересная перспектива, но сейчас я занят.",0
"Мне нужна дополнительная информация, чтобы дать вам точный ответ.",0
"Не планирую, но, возможно, в будущем ситуация изменится.",0
"Это вопрос на перспективу, а не на сегодня.",0
У меня есть другие профессиональные приоритеты.,0
"Я очень благодарен за предложение, но, к сожалению, не рассматриваю такую возможность.",0
"В будущем, возможно, но пока не рассматриваю такой вариант.",0
Все зависит от предложенной заработной платы и должности.,0
"Это была бы интересная перспектива, но у меня пока есть другие предложения.",0
"Я не знаю, как будут развиваться события, но пока у меня есть другие планы.",0
"Это было бы возможно, но в настоящее время я не готов сделать окончательное решение.",0
"Мне важно, чтобы условия моей работы были комфортным и стимулирующими.",0
"Я вернусь, если будет возможность реализовать себя и развиваться.",1
"Я рад получить такое предложение, но мне необходимо время, чтобы обдумать все.",0
"Я рад видеть ваш интерес ко мне, но на данный момент у меня нет времени на это.",0
"Спасибо за предложение, я его рассматриваю, но пока не могу дать ответ.",0
"Это интересная возможность, но мне необходимо время, чтобы обдумать детали.",0
Пока не исключаю такой возможности.,0
"Да, я бы вернулся, если бы были подходящие условия.",0
"С большим удовольствием вернусь, если появится подходящий проект.",1
"Не против вернуться, но только если будет прогресс в отношении [указать причину ухода].",0
Я всегда готов рассматривать предложения от бывших работодателей.,1
"Возвращение - интересный вариант, но пока рано говорить о конкретных планах.",0
"Я пока не готов к этому, но не исключаю возможности в будущем.",0
"Я открыт для диалога о возвращении, если у компании будут новые интересные задачи.",1
"Это весьма вероятно, если появится возможность внести свой вклад в компанию.",1
"Я рад, что меня помнят, но пока другие приоритеты.",0
В данный момент я занят другими проектами.,0
Пока не рассматриваю такую возможность.,2
На данный момент моя карьера идет по другому пути.,2
У меня сейчас другая профессиональная цель.,2
"Спасибо за предложение, но я пока не заинтересован.",2
"У меня были сложности в прошлом, которые я пока не готов пережить.",2
В настоящий момент я не рассматриваю возможность возвращения.,2
"Я считаю, что в компании нет для меня подходящих позиций.",2
"Спасибо за предложение, но я в поисках новой компании.",2
Мои личные обстоятельства не позволяют мне вернуться.,2
Я счастлив в новой компании.,2
"Спасибо, но сейчас не лучший момент.",0
"Я не заинтересован, так как в компании [указать причину].",2
Это слишком сложный вопрос для однозначного ответа.,0
У меня другие цели в данный момент.,2
Возвращение не входит в мои планы на ближайшее время.,2
"У меня положительные впечатления от компании, но пока нет интереса.",0
"Я ценю опыт работы в компании, но пока нет подходящих предложений.",0
"Я открыт для диалога, но только при наличии [указать условие].",0
Не исключаю возможности возвращения в будущем.,0
В данную секунду – нет.,2
"Возможно, если условия работы станут [указать условие].",0
"Все может быть, но пока не планирую.",0
"Это очень сложный вопрос, на который я пока не готов ответить.",0
"Пока не думаю, что это подходящее время.",0
Буду рад узнать о новых предложениях от компании.,1
Пока я строю свою карьеру в другом направлении.,2
"В компании нет той атмосферы, которую я бы хотел видеть.",2
У меня есть вопросы о причинах моего прошлого ухода.,0
"Спасибо за предложение, но у меня нет возможности вернуться.",2
Пока что не могу вернуться из-за [указать причину].,0
"Мне нужны гарантии [указать гарантию], чтобы я вернулся.",0
"Возможно, когда-нибудь я буду готов вернуться, но не сейчас.",0
"Пока не заинтересован, так как [указать причину].",2
"Думаю, что мой вклад в компанию уже сделан.",0
Это предложение требует дальнейшего рассмотрения.,0
"Возможность интересная, но пока нет ясности.",0
"Я с интересом выслушаю предложение, если оно появится.",1
"Мне нужны весомые причины, чтобы вернуться в компанию.",0
Сейчас меня устраивает мое нынешнее положение.,2
"Хотелось бы узнать, изменились ли условия работы.",0
"Это было бы возможно, но не сейчас.",0
"У меня сложилось положительное мнение о компании, но… [указать причину].",0
"Считаю, что я уже достиг всего, что мог в этой компании.",0
"Не уверен, что мои навыки будут востребованы.",0
Спросите у меня через [указать срок].,0
"Мне нравится направление, в котором развивается моя карьера.",2
"Возвращение - интересная возможность, но пока я занят.",0
"Да, при наличии интересного проекта.",1
"Пока не исключаю, но и не активно планирую.",0
"Буду рад узнать о вакансиях, но без особой надежды.",0
"Не против вернуться, но [указать условие] должны быть.",0
"Сейчас не актуально, но не забывайте про меня.",0
Заинтересован в деталях.,1
"Возможно, если будет хороший менеджер.",0
"Пока что нет, но в будущем – не исключаю.",0
Всегда готов обсудить новые возможности.,1
Только если условия работы будут идеальными.,0
"Откройте мне дверь, и я вернусь.",1
"Мне есть, что предложить компании, но пока не решался.",1
"Жду звонка, чтобы вернуться в семью компании.",1
"У меня есть большой потенциал, который хочу реализовать в этой компании.",1
"Рассматриваю эту возможность, если получится совмещать с моим текущим занятием.",0
"Не отказался бы вернуться, но [указать причину].",0
"Я люблю эту компанию, но не уверен, что готов вернуться.",0
"Пригласите меня на встречу, и мы поговорим.",1
Мое сердце всегда с компанией.,1
"С большой долей вероятности, нет.",2
"Да, если вы будете вкладывать в моих сотрудников.",0
"Не исключаю возможности, но не в ближайшее время.",0
Мне просто нужно подумать над этим предложением.,0
"Пока нет. Может быть, когда-нибудь.",0
"Может быть, когда я буду готов.",0
Сейчас у меня есть другое дело.,2
Я очень хочу вернуться в эту компанию!,1
В настоящий момент я в поиске новых вызовов.,2
"Да, при наличии свободного места.",0
"Всегда есть что-то новое, за чем стоит гоняться.",2
Мне нужна дополнительная информация.,0
"Нет, я хочу попробовать что-то новое.",2
"Я ушел с определенным опытом, и буду использовать его дальше.",2
"Считаю, что моя жизнь пошла другим путем.",2
Спасибо за возможность!,1
Было бы замечательно!,1
Все возможно.,0
У меня большие планы.,2
Посмотрим.,0
Время покажет.,0
Спасибо за предложение!,1
Никогда не говори никогда!,0
"Возвращение в компанию? Я не исключаю такой возможности, но на данный момент мои приоритеты направлены на другие проекты.",0
"Пока не планирую возвращаться, но с интересом наблюдаю за развитием компании.",0
"Хотелось бы вернуть время вспять, но у меня сейчас совершенно другие цели.",2
"Возможность интересная, но я готов к новым вызовам в другой сфере.",2
"Могу рассмотреть этот вариант в будущем, но пока сосредоточен на новых целях.",0
"Сейчас я не рассматриваю такую возможность, но слежу за успехами компании.",0
Я ушел по собственной воле и не жалею об этом.,2
"Возможно, через несколько лет, когда я добьюсь новых успехов.",0
"Спасибо за предложение, но я готов к новым горизонтам.",2
"Я предпочитаю новые вызовы, а не возвращаться в прошлое.",2
"Сожалею, но я уже построил карьеру в другой сфере.",2
На данном этапе своей карьеры мне интересны другие направления.,2
"Я с большим уважением отношусь к компании, но мои цели сейчас другие.",2
"Спасибо за интерес, но я уже сделал свой выбор.",2
